CAT,texts
0,eye
0,screening
0,advances
0,article
0,thickness
0,MetS
0,Clinical
0,magnesium
0,lacunar
0,epidemiology
0,sleep
0,coronary
0,meeting
0,hypoglycaemia
0,clozapine
0,endogenous
0,amputation
0,bias
0,stakeholders
0,platelets
0,lung
0,aspects
0,executive
0,Ramadan
0,pylori
0,patterns
0,delayed
0,RAS
0,conversion
1,ASCVD
1,article
1,asthma
1,allergic
1,transfusion
1,interstitial
1,ensure
1,surgeons
1,correlation
1,Understanding
1,sepsis
1,healthcare
1,epidemiology
1,Zhibitai
1,capsules
1,PVCs
1,Diabetes
1,Clinical
1,Treatment
1,AHF
1,Korean
1,ultrasound
1,Human
1,venous
1,Coronary
1,patterns
1,adiposity
1,GGD
1,intensity
1,ventricular
1,explore
1,phenotype
1,ASCVD
2,BAT
2,article
2,ghrelin
2,difficult
2,QOL
2,survivors
2,dialysis
2,folate
2,asthma
2,OSA
2,apnea
2,examines
2,Laparoscopic
2,monocytes
2,metabolites
2,motility
2,repair
2,executive
2,surgical
2,Health
2,metformin
2,Children
2,older
2,shift
2,morbidly
2,microvascular
2,SBT
2,TMAO
2,infant
2,sleep
2,functional
